Index,DataSource,ImageDate,Latitude,Longitude,PRUID,PROV_TERR,CSDUID
194,Ontario Ministry of Natural Resources and Forestry,2020,43.15496676,-79.38493691,35,Ontario,3526057
195,Ontario Ministry of Natural Resources and Forestry,2020,43.15999531,-79.40478326,35,Ontario,3526057
196,Ontario Ministry of Natural Resources and Forestry,2020,43.16001657,-79.40464999,35,Ontario,3526057
197,Ontario Ministry of Natural Resources and Forestry,2020,43.16002029,-79.40451463,35,Ontario,3526057
198,Ontario Ministry of Natural Resources and Forestry,2020,43.15921376,-79.4049558,35,Ontario,3526057
199,Ontario Ministry of Natural Resources and Forestry,2020,43.15907277,-79.40636806,35,Ontario,3526057
200,Ontario Ministry of Natural Resources and Forestry,2020,43.15907501,-79.40627079,35,Ontario,3526057
201,Ontario Ministry of Natural Resources and Forestry,2020,43.15907276,-79.40617228,35,Ontario,3526057
202,Ontario Ministry of Natural Resources and Forestry,2020,43.15907389,-79.40607525,35,Ontario,3526057
203,Ontario Ministry of Natural Resources and Forestry,2020,43.15907872,-79.40597915,35,Ontario,3526057
204,Ontario Ministry of Natural Resources and Forestry,2020,43.15908006,-79.40588273,35,Ontario,3526057
205,Ontario Ministry of Natural Resources and Forestry,2020,43.15852743,-79.40509257,35,Ontario,3526057
206,Ontario Ministry of Natural Resources and Forestry,2020,43.15787194,-79.40581511,35,Ontario,3526057
207,Ontario Ministry of Natural Resources and Forestry,2020,43.15706991,-79.40475668,35,Ontario,3526057
208,Ontario Ministry of Natural Resources and Forestry,2020,43.15714583,-79.4056126,35,Ontario,3526057
209,Ontario Ministry of Natural Resources and Forestry,2020,43.15713967,-79.40582718,35,Ontario,3526057
210,Ontario Ministry of Natural Resources and Forestry,2020,43.15683219,-79.40559491,35,Ontario,3526057
211,Ontario Ministry of Natural Resources and Forestry,2020,43.15715999,-79.4052209,35,Ontario,3526057
212,Ontario Ministry of Natural Resources and Forestry,2020,43.15684763,-79.40520264,35,Ontario,3526057
213,Ontario Ministry of Natural Resources and Forestry,2020,43.15715293,-79.4053588,35,Ontario,3526057
214,Ontario Ministry of Natural Resources and Forestry,2020,43.15684078,-79.40533796,35,Ontario,3526057
215,Ontario Ministry of Natural Resources and Forestry,2020,43.15778821,-79.40908724,35,Ontario,3526057
216,Ontario Ministry of Natural Resources and Forestry,2020,43.15827679,-79.40902607,35,Ontario,3526057
217,Ontario Ministry of Natural Resources and Forestry,2020,43.15837928,-79.409029,35,Ontario,3526057
218,Ontario Ministry of Natural Resources and Forestry,2020,43.1584745,-79.40903064,35,Ontario,3526057
219,Ontario Ministry of Natural Resources and Forestry,2020,43.15868814,-79.40904097,35,Ontario,3526057
220,Ontario Ministry of Natural Resources and Forestry,2020,43.15879764,-79.4090449,35,Ontario,3526057
221,Ontario Ministry of Natural Resources and Forestry,2020,43.15857719,-79.41716145,35,Ontario,3526057
222,Ontario Ministry of Natural Resources and Forestry,2020,43.15820179,-79.41722486,35,Ontario,3526057
